User,PID,Amount
0x7006BFF9CC5D96Cb29C52D8BFD18cA0d86723110,0,110793914025548750
0x0737880a1866Bfbda9dea62c91BA00df6C79f395,0,21969026228790000
0xDFEF46B2e15a5a94aa8F141529c8a4118F923D60,0,13268311628925
0xDf8D2A986Dd8998148893b59Fed435CFd8018527,0,10596479418654564
0x1A97307FEE4dc869c0310fD0f87D7e77ca856987,0,5875208160760875
0x127bBc2904Dbb53Cf601782fC12fa4fD633394E4,0,10201171280125
0x672e4377eb251fd7cc1c501611EA39de28Fe1d1d,0,5610756351848935
0x7BeBA6141E2c8D3472671963992fB95977a61e54,0,71969446550277671
0x822D6d6FE32a34c4745fBA8847ea88F662fA71eF,0,1130732722975268
0x6e3aC8336A7008C94eE614E481E21D999494EE63,0,8812062887435375
0x8d0332Fa4597fcaeefD2840F9299fa60CAfd39B7,0,6798556524632726
0x76e6e2E9Ca0ee9a2BB4148566791FD6F2fEeAc32,0,26414550815641506
0xEcCfAED82296B74296bd6D3DdC1e73cE1ec4ae17,0,1304780132882700
0x599924D8905549e3734d653039c611eE7DC64224,0,2545359354198425
0xc82618E68A1169d3704738D9eB78F34B4A96F296,0,15337984116612600
0x9A65f025427F84737F068b0beB8eb8b0597CEe91,0,65800647868015528
0xDD11EF5a5Ac03C24B5079c05a8904cDbB2eCf59D,0,302370156724818212
0x693287aF33e060d56d365F5a5c5E3f1C778D9b8a,0,11585190992838927
0xB500A32Df9e10af442fb8eb8c2e06a3cE19C8b78,0,43122978625619050
0x585De4a1f910540345abd828e0E81D0d03A113ed,0,266179206738150705
0xA63bBda3166028c677e6261109D279DC063BB937,0,10474960024761750
0xC0C0A8261B04e171bfE59C3628D69b5568cFa316,0,191560097473027
0x51b76dA4aA0Ea58878115a545BCB0244453f4C12,0,15171995725982115
0x86040Ffb6c6008fe8D46125B456b3785316e4cE3,0,20559793599632856
0x89136659949eF7bBDc6aB7F49626890603e4bA2a,0,4256101915528654
0x8DF04D551E3f7F5B03a67DE79184BB919A97BbDE,0,4364444200143642
0x560aE0B23c3Fc9dBc60dfe599Aaa4832b11d3620,0,276908823578684798
0x6Db690452fD9C21b9C188581D7d881BAA1CD918f,0,29688914478333529
0x1cC972Ff969689873f8010bDD0Cf3dC30618397E,0,6544412039854250
0xD82Db1AF9E29D59444d1999bD421BeB719990839,0,92940120564685000
0xC920dE538b9Ab887B81562EDb2f07Bc66403583E,0,1488093154186424
0x1e3dFbb3B09ff8C9C0FE4f4Fb3FEe491ce46fe92,0,4447930757750369
0xbB6eC0134149E9dbd2Ec7f9646e559618e361545,0,388508740070162060
0xbED5c4e636756dC373158a80d953719B4b405A3C,0,15696106336480940
0xf2c66dC705fad9226df7d3565C065784817A410B,0,87491568100864918
0x6A8820AAB71BBf12Aff35956DEC7d14Ee895ec6C,0,23913318479369800
0x488eD54Ca0Ae6D64683286278bE99E9c3A9C203E,0,8215310227631827
0x087De956cA5e35d19B2c39C496ef2E8B21deB0f5,0,74382286539525300
0xd777D3971Cf9bccef65B0B665f0e4A5e9d05C041,0,25234193487449769
0x7CDFc314b89a851054A9acC324171bF8a31593E9,0,6218791260121762
0x5F1619d49193fBdCb9e409Fd213700656288bf36,0,829460874282732087
0x592dA7c1B8B9cca9a20EcE5D6070f8140895DE6a,0,556319522713441476
0x7d4ae3cF5426f5dfAFb6f5d295EF45B81B3047D3,0,543478366776101138
0x65F192ce655f29741c98900D38EA031Ba21412de,0,297369852133513308
0x9C973B0639d3A29C9712181E152cF1A5a19871A4,0,295704155216047235
0x058C41BeB615413678c7BEB75f54672C93eF0942,0,74091220805513234
0xE93a5f4ca51D7c157aF00643c107d1d9AF42B1cD,0,2733422043988877
0x23b57759BbEB9Ac18953726cD716DC3e349A2D74,0,48460746701020200
0xf4ED8aAfC9bCae35DB4cA9705C950f190B7D1e92,0,265434407643762
0x1d9C485f47C84CDD03001C1D363949ED039fe92F,0,75053692998500932
0x46fab85ac9a997704Ed36eB3c41bd97DAFEDA316,0,31861890109777125
0xF33678D4B5B8b1Ccc8381392efD77126aDd10111,0,2508488740140464
0xD92eB6811Fb53A05DfdBD55961E4Dec75D3A50d4,0,106617905625228261
0x376508cC74098ef17A1241487b34c11A454C91E7,0,67130336452781127
0xb56Eb2C4a585bB3a7F305D42c3df13D0F0fc8AC3,0,78453119297753000
0x279bFb85E0DF645AD699bA03503a4a8C6c087B98,0,6973870972109464
0x93477cEB5915E92274B151C4fF8436dD1bC9782E,0,43051116790735170
0x4eAeB537e7b152738c853910d0BD2F6CD81276Cd,0,114385179565053000
0x41d90Ece418559BB521B6E77C308A0EeE8aE5A21,0,51055836971284671
0x82FC6a686C5dB9b41F58fea5A8cE4C1F6062E5A5,0,4321471934983444
0xF634ED4015eF307F3576921422D8f1F9f59Dc48f,0,1149253033150349981
0x6E3A3b831647947C1B07b5613b746A6D12864816,0,149972984317451883
0x483BCc40B404B978A2d02d4d8Dfa4EaBaA4c8e42,0,5969730590757700
0x1d9FfF0c858eaD0B5127eFEbDd6aAB9a8b412d2d,0,55150570825973000
0x8791091aDA8A737F2C3347987770ACf416aD282E,0,5083889261569888
0xF82bA88f32f19a8DBcF68081ed42De38329A88f6,0,6219123397295850
0x4c4D6FB5234E748F9d8782E37E686FBfe52dC765,0,643461279325997600
0x5fd08dCa0A5F9256C4248909e4614E6Daa5A9C8c,0,28235589848901525
0xFA3B3DC78Dc9a7E38E47966d04d33336508F2f80,0,1556190471044032000
0xcdfD2aA6Dc6780A49Dea2934124b736317DD9A55,0,6778275741356730
0xaDd528E4b48ac854DfaD1E79Ad6af2E7524AF26D,0,60033986078519700
0xc384F2BeA973e0f680948da44317A4ABE7040503,0,17209772033826123
0xD67045e40ee0ea7B8b542357E336f90c53bA13e9,0,67871801332695150
0x9F158387d4265CD9e515b53c241fF0c7697bEa6A,0,20962064874592638
0x926f0C1242c57C381cf60DE4B9D8BA108146dEb2,0,127520484493045325
0x9cAb462fd45D95733340661D8848798323dd33A9,0,24953095820080011
0x088E65BF9c059f90071aFed20c1420a775CcEcbB,0,12375731347996575
0xf6A4388D768036dcD99cD2F4aA555F1BCE374c2d,0,77299928271577428
0x74C2134441b902cEaaa1eB9233C3A6acA484470F,0,130919695761716645
0x1aB394CE32830d70255AB8ACE5fDC4e2Ece1edfd,0,237225369827521250
0xb159Ef0FD4fd4A2956B782b2FF22199139850100,0,24541343388101400
0xEDe197D94791603A0dF3B7617062246f785a63D5,0,130327713450717000
0x73A8d2d6f49894BAd1322c691B66B7e8Ac241fbE,0,36111904425410695
0xF930b0A0500D8F53b2E7EFa4F7bCB5cc0c71067E,0,34469106766233125
0x5Eb67a3b141f3036899EE77822A41277166c540e,0,14902244745738784
0xa028f85C62Cab55fd61D9A2A0c8827a61188BA8E,0,6134621557702560
0x7e2A9CDf1946Ea3c9c605B2a6AeeA89eEA5F6573,0,200848881392094000
0x14CA84C04E71D5bfEeF0b4469d1Df816bBc0AeCE,0,75853122431474700
0x59E55F7685ebb440c5A49055C0cF31BAb73a2a5D,0,125395634027888500
0xE8DE81a25995DC46A2ae9B4dbD3f01eeC84d4ea0,0,58196454380006069
0x1e9B851b1516Ff13a249985A9540f992Fd26FBB8,0,56235251432103274
0x0C6b9B06c96732A47af369FE16B02eBf3FAbe36A,0,5202600690507232
0xCe734fd52aD7018d0f670552074291082487acF9,0,25386115585634000
0xB57aEd778C70F90a546C67E721b63aE011485B74,0,125552877026167565
0x37098E77B5408a2236874e78422C10F7983303Cf,0,32087287513599150
0x4432c91247B30Eabc55DC4238934E75b7B992E6A,0,105632314641205014
0xE60a9FD5fe190de7620341636C3f02AbF5b20EA5,0,29110353674478389
0x1ad3E1493A5486f8CB675549cA4d6D124986613B,0,12521124602832700
0x9270679A73f8eA31578C780384B8f2EE0F47cE8d,0,151572456976917456
0xb46B3935E78a0D88c7912aC72af86C952DEabD6C,0,71086604997110800
0x573Cc77c33Fa06ccF531f3fd5074664e94A2c4ff,0,98585414031046239
0xa1ef98D651E35d938e006Dc63C46Ba8c72781DC1,0,38921581191867883
0x17F034Fa50A0FCBaB052cA51f7A307F97B7c5E4a,0,92463899269559847
0x1396475662Dc136009937214847985033CBFF924,0,1849413259164536
0x4BC214ec2dFc335af4e1ea348131190Aa9C4c461,0,27690567330739421
0x6c481cE7BDd3252f63012D580bB0a3dB6ec0D2C9,0,4132774632091457
0x34A7582329Aca651525eF248C1e705Cba0511b5E,0,3045965274170775
0x6147A010ECCC55AD86a307362cDFf293675A097B,0,161051203497740424
0x3d78010356A09ab60F1A627CAD1A7081fFB45445,0,12402316898564700
0xA7c600Cac149E2593D346885fFF00E050Fa549a5,0,494716818275868000
0x8f3Ddb74C61a70724370d8ccE3DE8d74BE68b445,0,19679519619714938
0xC0Be51E77505d0Ff1AD05f72e70002e10d49f2Bc,0,131029460722225162
0x8baB3584FdB68ee237B46fe17B0258e38fC005F8,0,44929809850649451
0x9C8224DfCFB1C02E0857790A240188C0DC2a0464,0,64909939873169694
0xc3A25e152F32F492b3AF0d17B93381C10D02D3A3,0,263789640744983
0x81FcDE04bD5Ba06Aa66A80CDA8dDb846099c423A,0,500235259302114000
0x331c4fBa3AeeA4d217624c50f433dce8F6BfF9cc,0,45662365353562884
0xf8dda9a12EADbBd4CF98Da27BeBa8c69AF866966,0,50022844379035409
0x7f4d80859AC40C67f5e1EbEC024C7bF4c3365561,0,12773134117989168
0x1e4133cBCE3dFDd22a66F58c41a68D726d51dd59,0,6738168773331830
0xEd30A5F8B1A34E157e9D5739Cc05A8d1f5161f3d,0,2105992503824265
0x1800d4Caf8F6b7F549a105737C7F669b327eF548,0,54788816260557544
0x16bFE39Ecf3C717CB73B10cAF97c3260A1586b0B,0,39298197639844800
0xe7D080567007089df20E906f17E6b0f5f2ccbB0A,0,5391462746556925
0xF90057583075f6c737da66750aAe25ddFbebDaA5,0,38795905948629412
0x5d2860298bBAAF4F3E1fbCe014360A789Fd3F4Fa,0,1084645835472295866
0x99a92efB611e2E1fE846Fac45C1a63Dc79FA6C44,0,3292835312637512
0x09f4610cda5304f89268c12057615CD3Df45A6e5,0,145616505600555288
0x557A72529Fb7AdaCc368dEd25d7c4D5e981dE595,0,115306175429383461
0x1eB4E4E0b46B10864D3704468DdC6765912Cd750,0,4012690974891111
0xA91B339e1fc47D9e43caAF9222Be6391082D8B94,0,512981015574595182
0x1adf198B135C38E7f14A3e3516622Fe80941f667,0,39723827761782610
0x895537E51225476ac7D247e0A0438b17a3931c47,0,21194794941575745
0x835764CEc7A3219276Bfb6BC86CEC6b80E31D321,0,23448718873463972
0x4fb760cCC82309345A3ff31e12895140E22D225d,0,4839162173434979
0x88f8BF23eB00290a37DA2f059eB35160E59Ba95a,0,90468130040598110
0x433c5ee60F1069C3ACB2AF7356C5E1586B013Df3,0,5917976409527719
0x2F9F53403359f64CBe9e1a44632A275E37c008aF,0,4453855995983528
0x171D64661Ee33CC9296ae048C753c529641F65bb,0,150900490344217864
0x71d9257Da893DE537daF2b80c98D64a082Fdfade,0,34519672897591743
0x602dC1d22884E333FCA32eB03105773c3b97b22B,0,8059636977949163
0xA0efD27acC781549D5b78e89E561AA0903932d56,0,7803378456650200
0x6CFE0bAf1aeC4cBCB82298DFB8ba1c4e54Ce57cF,0,19898476196564500
0x40430074c133e1cF40c6eE4d14c97cB55Fd3c0a5,0,599424094074316484
0xD5c58B0D819be34b7b8Ff69E76e6A4b5fB912263,0,5849857366149957
0x69087Ea14Ab04A0b4cdfB3E16954CC0fcef06f17,0,5690426660728105
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,0,4796430326896733
0x774faD7eCC5Cb8f75E7fe66f1FC7E1921E8cD56f,0,10858613238299165
0x0CEa19a8bc17387Cdb325FD6146D1e51616F7535,0,259573900773540000
0xEd30CF2D79976e9Aa9e49f7bCA1095b9AB2E8d01,0,103688481412169600
0xc6da31BcD085AE0B6C41052aAf9CA24e1998E42A,0,4186691592076375
0xd36F814B8AA71134652180DC72178f64C5EE5932,0,24566957653459232
0x9dDAdED511e4f7f93632442BBBEA237Bde159D8A,0,141274376816647316
0xB1dFB54960a3E3eCE68C30187A7425e3DDcA3733,0,47116161349371300
0x83B5aF08C3998A3dF655d0bf091673306a11d185,0,5848163828044794
0x52d11cf885b845aFEBd9B936ae11fa1957702232,0,18115706634785942
0xf9cd58Ec5818378cF7A94ee3FEc27aa614FDc997,0,7231413279059834
0x340530A5F27cE8634fF9B6dB3982F044e612FAce,0,3047259437748971
0x693D196cD3c7a5b383c46f752b3dED9b298BdE37,0,9925985296787148
0xD7B57080EAFDb2Fe9a544B6799e83Fff0A8Ef958,0,6517219708905125
0xB7C99862d069E1b8f855fcbe64063a40550098AB,0,144444267232306893
0xff35d9fe7DFa24Dd8679D182B782b5ACd3Ee03Ca,0,5948029462266741
0xCa7DCCE3ddBE5e290df7200D2DF353C58E6C9fB2,1,5310074142449356650
0x36A26590360797E9795d31c103F87f79E52Ecf7A,1,2914510839527754489
0x8d0332Fa4597fcaeefD2840F9299fa60CAfd39B7,1,1631793852580102631
