User,Amount
0x1d9FfF0c858eaD0B5127eFEbDd6aAB9a8b412d2d,96822196925118871374
0xC0Be51E77505d0Ff1AD05f72e70002e10d49f2Bc,1479388596151770582
0x1800d4Caf8F6b7F549a105737C7F669b327eF548,28326993882288145583
0x5d2860298bBAAF4F3E1fbCe014360A789Fd3F4Fa,6823093099996710467
0x46fab85ac9a997704Ed36eB3c41bd97DAFEDA316,205039555896834012
0x9C973B0639d3A29C9712181E152cF1A5a19871A4,1931939737345247050
0xB7C99862d069E1b8f855fcbe64063a40550098AB,7307545511170617021
0x9DaC37989ABf0fFF9BD5bE2e58cd82634dCfAD5E,15899670338233463806
0x1ad3E1493A5486f8CB675549cA4d6D124986613B,267971113466557073139
0x087De956cA5e35d19B2c39C496ef2E8B21deB0f5,492094934152401630
0xEd30CF2D79976e9Aa9e49f7bCA1095b9AB2E8d01,656126578869868841
0xFcc5c883AEb32fC31DEbDB8218Bb457Ba9741A48,105316296164107339017
0x592dA7c1B8B9cca9a20EcE5D6070f8140895DE6a,3680870107459964655
0x4B8aD60cac1941e9Cb0BD78d6deA3b5A8e1285BC,5224879865296054838
0xF82bA88f32f19a8DBcF68081ed42De38329A88f6,86161672515311818202
0x4F00120ca37d594C8f20755975871671bF7123FE,2119448298317498647
0x65F192ce655f29741c98900D38EA031Ba21412de,1974607147695867979
0x9C8224DfCFB1C02E0857790A240188C0DC2a0464,80061873080535341234
0x7d4ae3cF5426f5dfAFb6f5d295EF45B81B3047D3,3630020297597549801
0x088E65BF9c059f90071aFed20c1420a775CcEcbB,35200925054857504416
0xCe734fd52aD7018d0f670552074291082487acF9,14894640506132602568
0x09f4610cda5304f89268c12057615CD3Df45A6e5,10649052595788170796
0x3DC64e9752B49DFdCADfAd3D2B8f0287c5D1d2F4,12851441505948138073
0x71d9257Da893DE537daF2b80c98D64a082Fdfade,225000720388566214
0x17F034Fa50A0FCBaB052cA51f7A307F97B7c5E4a,602812109309870704
0x7006BFF9CC5D96Cb29C52D8BFD18cA0d86723110,39547728906670451344
0x76e6e2E9Ca0ee9a2BB4148566791FD6F2fEeAc32,8090063118725133589
0x23b57759BbEB9Ac18953726cD716DC3e349A2D74,7160113816721043488
0x9270679A73f8eA31578C780384B8f2EE0F47cE8d,989954931867169476
0x59E55F7685ebb440c5A49055C0cF31BAb73a2a5D,820158223587336051
0x81FcDE04bD5Ba06Aa66A80CDA8dDb846099c423A,3280632894349344562
0x1e9B851b1516Ff13a249985A9540f992Fd26FBB8,15830913992828770799
0x3d78010356A09ab60F1A627CAD1A7081fFB45445,27589096057000078760
0x3258A564C6160f7a2a92644F339D6C9774536F8F,49137035987709451767
0x4c4D6FB5234E748F9d8782E37E686FBfe52dC765,23245596133294997258
0xA7c600Cac149E2593D346885fFF00E050Fa549a5,44262612824982540871
0x4936f33b7B060c7336fD0e4c61316EA248DA6827,1912581580893749031
0x1adf198B135C38E7f14A3e3516622Fe80941f667,75582793460158079051
0xb159Ef0FD4fd4A2956B782b2FF22199139850100,1562217588880222305
0xd36F814B8AA71134652180DC72178f64C5EE5932,705014578279409846
0x9bb72Af4e3B8964B0Eb107659ab4920ff4BbAc65,9492714842330987536
0x483BCc40B404B978A2d02d4d8Dfa4EaBaA4c8e42,20694122668353703753
